ElectDist,Shape_Leng,Shape_Area,coun_dist
"24002",11069.58303550000,3020113.04534000019,"23"
"24003",5147.52701833000,1967974.90042999992,"23"
"24004",6195.87370498000,1267754.86644000001,"23"
"24005",7175.11087497000,2650811.50117000006,"23"
"24006",7644.36766691000,3052480.52740000002,"23"
"24007",7293.99003532000,2970479.93050999986,"23"
"24010",6943.18242830000,2083772.93476000009,"23"
"24011",6437.47726748000,1718883.94158999994,"23"
"24012",2174.96017815000,285667.95850600000,"23"
"24013",8573.08466885000,2896629.96302000014,"23"
"24014",5709.25597923000,1262936.91626999993,"23"
"24015",11437.06680810000,4031163.39072000002,"23"
"24016",8432.20731790000,3944092.59989000019,"23"
"24017",5491.74471516000,1875820.17045000009,"23"
"24018",5802.10031939000,1426105.35141999996,"23"
"24019",8162.77856077000,2756787.64440000011,"23"
"24020",6183.61925240000,1762030.32744999998,"23"
"24021",5615.28127571000,1416592.42504999996,"23"
"24022",9141.75316112000,3215013.40657000011,"23"
"24023",2472.75525987000,374727.91305500001,"23"
"24024",7895.84540968000,2277053.07329999981,"23"
"24025",20851.33805300000,13228281.45119999908,"23"
"24026",5806.39141971000,1283181.02747999993,"29"
"24027",6422.96174230000,1687264.74465000001,"23"
"24028",15869.94290050000,5990705.90407999977,"23"
"24029",3761.77337945000,843587.05433399999,"23"
"24030",7373.25696650000,1600294.34537000000,"23"
"24031",7450.80087324000,1860468.55816000002,"23"
"24032",6381.44776023000,2260739.07047000015,"23"
"24033",11183.63440720000,5231717.40546999965,"24"
"24034",9509.24490416000,4067932.76609000005,"24"
"24035",18672.31582690000,4164311.38152999990,"24"
"24036",2076.35409834000,290769.55579700001,"24"
"24037",5835.86676190000,1092810.64782999991,"24"
"24038",1588.69781160000,140838.72895900000,"24"
"24039",9728.31597057000,4935915.15242000017,"24"
"24040",10872.91811790000,2408212.67983999988,"24"
"24041",3240.86086873000,586909.49211700005,"24"
"24042",7462.62068338000,2282936.96034999983,"24"
"24043",7150.59821870000,1583075.22398000001,"24"
"24044",7639.02818819000,1814032.80041999999,"24"
"24045",9815.81239400000,1410808.22240999993,"24"
"24046",4963.69533784000,755389.91558599996,"24"
"24047",6310.36829953000,1872849.03028000006,"24"
"24048",3992.98565809000,607864.65248599998,"24"
"24049",6883.58025925000,1868877.22466000007,"24"
"24050",6741.62791005000,1659497.96423000004,"24"
"24051",5830.07010589000,1594907.12400999991,"24"
"24052",6656.01270753000,1555273.95907999994,"24"
"24053",13563.92733600000,3553967.68964000000,"24"
"24054",9106.83564191000,1645975.02570999996,"24"
"24055",6002.80706773000,1125394.74115999998,"24"
"24056",2035.54073227000,244789.11887599999,"24"
"24057",3472.27261264000,417039.53973399999,"27"
"24058",2703.41634173000,310708.41649700003,"27"
"24060",5065.32218513000,1112724.20406999998,"24"
"24061",7342.53376439000,2011125.78979999991,"23"
"24062",4572.51352892000,1057032.75282000005,"24"
"24063",5461.17132625000,1088901.03905000002,"28"
"24064",11756.24838250000,1564729.95022000000,"28"
"24065",7146.35212604000,3116681.71375000011,"29"
"24066",5156.68291387000,1377901.31425000005,"29"
"24067",5129.57463324000,1382620.78870999999,"24"
"24068",6045.99994047000,1703782.76976000005,"29"
"24069",5462.86429237000,1351306.60789000010,"28"
"24070",6705.20058268000,1651782.10394000006,"28"
"24071",6977.25671902000,1681870.07911000005,"28"
"24072",5735.07419710000,1555799.24292999995,"28"
"24073",7198.28986784000,1550272.62127000000,"28"
"24074",5004.43547155000,1271990.73478000006,"28"
"24075",4626.42875037000,1233932.03095999989,"28"
"24076",6283.55050883000,1521591.50353000010,"28"
"24077",5295.22383083000,1148832.59401999996,"28"
"24078",2855.52657995000,307240.06431699998,"24"
"24079",4957.93964122000,1279908.72212999989,"28"
"24081",306.54902700700,5570.17959678000,"27"
"24082",514.86202529700,12879.83422720000,"29"
"24083",3223.53921388000,171224.57609300001,"23"
"24084",6840.57440172000,1609785.97398000001,"23"
"24085",7145.99225530000,1740972.27116000000,"24"
"24086",4101.13737779000,459811.51255599997,"24"
"24087",10390.48380440000,3862153.23205000022,"29"
"24088",5291.92288667000,1375590.99891000008,"28"
"24089",7681.74055501000,2965713.31889999984,"23"
"24090",6661.24517225000,1662861.99319999991,"24"
"24091",7725.28116103000,1908366.04685999989,"23"
"25001",4074.30139771000,529274.84572700004,"24"
"25002",2190.14620236000,283419.09305400000,"24"
"25003",6777.65066206000,1601570.89593999996,"24"
"25004",7033.19073458000,2156793.53359000012,"24"
"25005",3230.99329704000,574442.59693899995,"24"
"25006",5697.70082992000,1611422.86844000011,"24"
"25007",7074.80638423000,1361028.70825999998,"24"
"25008",8206.82912883000,2389863.42017999990,"24"
"25009",3772.37881255000,816338.79816799995,"24"
"25010",6946.40791659000,1107186.81496000011,"24"
"25011",8936.73864187000,2859644.12882000022,"24"
"25012",7866.42829182000,2496494.82816000003,"24"
"25013",11750.17500770000,3024209.29982999992,"24"
"25014",8110.43503331000,2920921.66535999998,"24"
"25015",6221.63479782000,2414729.65347999986,"24"
"25016",12470.78941220000,7097412.27574000042,"23"
"25017",9587.57103567000,2298813.96486999979,"23"
